campaign_id,campaign_name,campaign_status,advertising_channel_type,campaign_type,impressions,clicks,cost,conversions,cpa,conversions_value,conversions_value_per_cost,ctr,average_cpc,search_impression_share,search_budget_lost_impression_share,search_rank_lost_impression_share,search_top_impression_share,search_absolute_top_impression_share,search_click_share,constraint_type,constraint_recommendation,constraint_reason
23643156718,WG_PMax | Portfólio Geral | bd,ENABLED,PERFORMANCE_MAX,BRANDED,947726,15837,11110.36,1305.629649,8.51,126153.477545324,11.354582340257817,0.016710526038116503,0.7015443737450274,0.3282714433900368,0.0009639949710984778,0.6707645616388648,0.0,0.0,0.4511273715078888,HEAVILY_RANK_LIMITED,"Melhorar Ad Rank: tROAS/lance, qualidade, relevância, landing e estrutura","A principal trava é rank, não orçamento."
23197909841,WG_Search | Soluções | nbd,ENABLED,SEARCH,SEARCH_NON_BRANDED,99391,4173,6357.72,126.405144,50.3,12167.333113424,1.9137879204484833,0.041985692869575715,1.5235376968607717,0.0999,0.07936979778773219,0.9001,0.0999,0.0999,0.0999,HEAVILY_RANK_LIMITED,"Melhorar Ad Rank: tROAS/lance, qualidade, relevância, landing e estrutura","A principal trava é rank, não orçamento."
21852333306,WG_Search | Institucional | bd,ENABLED,SEARCH,BRANDED,128546,31231,12121.62,2919.786553,4.15,304981.311794893,25.160104777228568,0.24295582904174381,0.38812792673945756,0.6315267559625803,0.0016114096553333285,0.36686183438208636,0.5706765764516059,0.5387642459242602,0.7231189064821729,RANK_LIMITED,"Revisar competitividade, qualidade, match type, copy e landing",Há perda relevante por rank.
23631280018,WG_demand gen | youtube | produtos validados | bd,ENABLED,DEMAND_GEN,BRANDED,4117558,47121,39928.36,1712.057262,23.32,140700.76989871,3.523830091869855,0.011443918944189736,0.8473581589100402,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
13224759599,KOKESHI GERAL,REMOVED,SMART,SMART,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
13699590404,Vídeo Conversões – Joyce - porcenana - gueixa,REMOVED,VIDEO,VIDEO,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
14079738455,VISITAS AO SITE KBEAUT,PAUSED,SEARCH,SEARCH_NON_BRANDED,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
14461711836,Conversão_Porcelana,REMOVED,SEARCH,SEARCH_NON_BRANDED,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
14462638215,Conversão_Chamego,REMOVED,SEARCH,SEARCH_NON_BRANDED,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
14463940240,Conversão_Gueixa,REMOVED,SEARCH,SEARCH_NON_BRANDED,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY_OR_NO_CLEAR_CONSTRAINT,Monitorar; não há gargalo claro de orçamento/rank,Sem perda relevante por orçamento ou rank no período.
