term_key,campaign_name,ad_group_name,impressions_ads_detail,clicks_ads_detail,cost_ads_detail,conversions_ads_detail,search_budget_lost_impression_share_detail,ctr_ads_detail,avg_cpc_ads_detail,cpa_ads_detail,detail_recommendation
skincare creme,WG_Shopping | Portfólio Geral | nbd,todos,2,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare da ruby rose,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3,2,1.86,0.0,0.1216678938796651,0.6666666666666666,0.93,,monitorar
skincare da ruby rose,WG_Shopping | Portfólio Geral | nbd,todos,6,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare das coreanas,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare das coreanas,WG_Search | Soluções | nbd,search | produtos de skincare,3,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare das coreanas,WG_Search | Soluções | nbd,search | skin care coreano,22,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare das coreanas,WG_Shopping | Best Sellers | nbd,shopping | best sellers,86,2,0.99,0.0,0.1216678938796651,0.023255813953488372,0.495,,monitorar
skincare das coreanas,WG_Shopping | Portfólio Geral | nbd,todos,50,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare de pobre,WG_Shopping | Best Sellers | nbd,shopping | best sellers,7,1,0.53,0.0,0.1216678938796651,0.14285714285714285,0.53,,monitorar
skincare de pobre,WG_Shopping | Portfólio Geral | nbd,todos,2,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare diurno,WG_Shopping | Best Sellers | nbd,shopping | best sellers,22,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare diurno,WG_Shopping | Portfólio Geral | nbd,todos,12,1,0.3,0.0,0.0019842830030239,0.08333333333333333,0.3,,monitorar
skincare diurno e noturno,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
