term_key,campaign_name,ad_group_name,impressions_ads_detail,clicks_ads_detail,cost_ads_detail,conversions_ads_detail,search_budget_lost_impression_share_detail,ctr_ads_detail,avg_cpc_ads_detail,cpa_ads_detail,detail_recommendation
suavizador de poros,WG_Shopping | Best Sellers | nbd,shopping | best sellers,193,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
suavizador de poros,WG_Shopping | Portfólio Geral | nbd,todos,77,1,0.38,0.0,0.0019842830030239,0.012987012987012988,0.38,,monitorar
suavizar olheiras,WG_Shopping | Best Sellers | nbd,shopping | best sellers,28,1,0.33,0.0,0.1216678938796651,0.03571428571428571,0.33,,monitorar
suavizar olheiras,WG_Shopping | Portfólio Geral | nbd,todos,3,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sumire,WG_Shopping | Portfólio Geral | nbd,todos,11,1,0.65,0.0,0.0019842830030239,0.09090909090909091,0.65,,monitorar
sunken eyes treatment,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,1,0.92,0.0,0.1216678938796651,1.0,0.92,,monitorar
suplemento colágeno,WG_Shopping | Portfólio Geral | nbd,todos,3,1,0.36,0.0,0.0019842830030239,0.3333333333333333,0.36,,monitorar
sweet skin,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,0.92,0.0,0.0793697977877321,1.0,0.92,,monitorar
sweet skin,WG_Shopping | Best Sellers | nbd,shopping | best sellers,68,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sweet skin,WG_Shopping | Portfólio Geral | nbd,todos,12,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sweet skin dailus,WG_Shopping | Best Sellers | nbd,shopping | best sellers,7,2,2.68,0.0,0.1216678938796651,0.2857142857142857,1.34,,monitorar
sweet skin dailus,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sweet sweet way,WG_Shopping | Portfólio Geral | nbd,todos,1,1,0.42,0.0,0.0019842830030239,1.0,0.42,,monitorar
sérum 10 em 1,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum 10 em 1,WG_Shopping | Portfólio Geral | nbd,todos,7,1,0.67,0.0,0.0019842830030239,0.14285714285714285,0.67,,monitorar
sérum anti aging creamy resenha,WG_Shopping | Best Sellers | nbd,shopping | best sellers,1,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum anti aging creamy resenha,WG_Shopping | Portfólio Geral | nbd,todos,1,1,0.42,0.0,0.0019842830030239,1.0,0.42,,monitorar
sérum anti sinais,WG_Shopping | Best Sellers | nbd,shopping | best sellers,4,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum anti sinais,WG_Shopping | Portfólio Geral | nbd,todos,12,1,0.47,0.0,0.0019842830030239,0.08333333333333333,0.47,,monitorar
sérum antimanchas,WG_Shopping | Portfólio Geral | nbd,todos,6,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sérum antissinais,WG_Shopping | Best Sellers | nbd,shopping | best sellers,12,1,0.97,0.0,0.1216678938796651,0.08333333333333333,0.97,,monitorar
sérum antissinais,WG_Shopping | Portfólio Geral | nbd,todos,28,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sérum anua,WG_Search | Soluções | nbd,search | produtos de skincare,2,1,1.941558,0.0,0.0793697977877321,0.5,1.941558,,monitorar
sérum anua,WG_Shopping | Best Sellers | nbd,shopping | best sellers,12,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum anua,WG_Shopping | Portfólio Geral | nbd,todos,5,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sérum bom e barato para o rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,17,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum bom e barato para o rosto,WG_Shopping | Portfólio Geral | nbd,todos,17,1,0.39,0.0,0.0019842830030239,0.058823529411764705,0.39,,monitorar
sérum booster,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
sérum booster,WG_Shopping | Best Sellers | nbd,shopping | best sellers,3,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum booster,WG_Shopping | Portfólio Geral | nbd,todos,35,1,0.33,0.0,0.0019842830030239,0.02857142857142857,0.33,,monitorar
sérum booster hidratante,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
sérum booster hidratante,WG_Shopping | Best Sellers | nbd,shopping | best sellers,5,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum booster hidratante,WG_Shopping | Portfólio Geral | nbd,todos,10,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sérum booster kokeshi,WG_Search | Institucional | bd,search_kokeshi,9,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
sérum booster kokeshi como usar,WG_Search | Institucional | bd,search_ kokeshi | pele porcelana,1,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
sérum booster kokeshi como usar,WG_Search | Institucional | bd,search_kokeshi,2,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
sérum booster kokeshi como usar,WG_Search | Institucional | bd,search_kokeshi | óleo de rosa mosqueta,1,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
sérum booster kokeshi resenha,WG_Search | Institucional | bd,search_kokeshi,9,0,0.0,0.0,0.0016114096553333,0.0,,,monitorar
sérum clareador,WG_Search | Soluções | nbd,search | produtos de skincare,3,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
sérum clareador,WG_Shopping | Best Sellers | nbd,shopping | best sellers,15,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum clareador,WG_Shopping | Portfólio Geral | nbd,todos,21,1,3.32,0.0,0.0019842830030239,0.047619047619047616,3.32,,monitorar
sérum clareador facial,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,2.347161,0.0,0.0793697977877321,1.0,2.347161,,monitorar
sérum clareador facial,WG_Shopping | Best Sellers | nbd,shopping | best sellers,13,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
sérum clareador facial,WG_Shopping | Portfólio Geral | nbd,todos,13,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sérum colágeno,WG_Search | Soluções | nbd,search | produtos de skincare,2,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
sérum colágeno,WG_Shopping | Best Sellers | nbd,shopping | best sellers,11,1,2.45,0.494397,0.1216678938796651,0.09090909090909091,2.45,4.955531688096814,manter_otimizar_neste_grupo
sérum colágeno,WG_Shopping | Portfólio Geral | nbd,todos,16,1,0.48,0.0,0.0019842830030239,0.0625,0.48,,monitorar
sérum com colágeno,WG_Shopping | Best Sellers | nbd,shopping | best sellers,2,1,0.21,0.0,0.1216678938796651,0.5,0.21,,monitorar
sérum com colágeno,WG_Shopping | Portfólio Geral | nbd,todos,2,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
sérum coreano rosto,WG_Search | Soluções | nbd,search | produtos coreanos para pele,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
sérum coreano rosto,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
sérum coreano rosto,WG_Shopping | Best Sellers | nbd,shopping | best sellers,46,1,0.27,0.0,0.1216678938796651,0.021739130434782608,0.27,,monitorar
sérum coreano rosto,WG_Shopping | Portfólio Geral | nbd,todos,24,1,0.37,0.0,0.0019842830030239,0.041666666666666664,0.37,,monitorar
sérum creamy,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,1.84,0.0,0.0793697977877321,1.0,1.84,,monitorar
